Nro.,Escuela Profesional,Sede,Edad,Sexo,1.1 Semestre,1.2 Estado civil,1.3 Tiene Hijos,1.4 Trabaja y estudia,1.5 Vive Solo,1.6 Promedio ponderado,1.7 Nivel Socioeconómico,1.8 Excelencia académica
74,ADMINISTRACIÓN,CUSCO,28,Masculino,9 semestre,Soltero,No,No,Si,15.36,A,1
75,ADMINISTRACIÓN,CUSCO,23,Femenino,10 semestre,Soltero,No,Si,Si,17.705,B,1
76,ADMINISTRACIÓN,CUSCO,22,Masculino,10 semestre,Soltero,No,No,No,16.358,A,1
77,ADMINISTRACIÓN,CUSCO,23,Masculino,8 semestre,Soltero,No,No,No,13.001,B,0
78,ADMINISTRACIÓN,CUSCO,21,Femenino,9 semestre,Soltero,No,Si,No,11.714,B,0
79,ADMINISTRACIÓN,PUERTO MALDONADO,23,Femenino,7 semestre,Soltero,No,Si,Si,18.957,C,1
80,ADMINISTRACIÓN,CUSCO,22,Masculino,5 semestre,Soltero,No,Si,No,15.989,A,0
81,ADMINISTRACIÓN,CUSCO,25,Masculino,9 semestre,Soltero,No,No,Si,11.171,B,0
82,ADMINISTRACIÓN,QUILLABAMBA,30,Masculino,8 semestre,Soltero,No,Si,Si,11.382,C,0
83,ADMINISTRACIÓN,CUSCO,20,Femenino,8 semestre,Soltero,No,Si,No,17.668,A,1
84,ADMINISTRACIÓN,QUILLABAMBA,23,Femenino,8 semestre,Soltero,No,Si,Si,11.151,B,0
85,ADMINISTRACIÓN,CUSCO,21,Masculino,4 semestre,Soltero,No,Si,No,13.522,A,0
86,ADMINISTRACIÓN,SICUANI,18,Femenino,3 semestre,Soltero,No,No,No,17.287,B,1
87,ADMINISTRACIÓN,CUSCO,21,Masculino,9 semestre,Soltero,No,Si,No,14.521,B,0
88,ADMINISTRACIÓN,PUERTO MALDONADO,24,Masculino,5 semestre,Soltero,No,Si,No,15.699,C,1
89,ADMINISTRACIÓN,CUSCO,26,Masculino,9 semestre,Soltero,No,Si,Si,11.053,A,0
90,ADMINISTRACIÓN,CUSCO,24,Femenino,12 semestre,Soltero,No,Si,No,13.973,C,0
91,ADMINISTRACIÓN,CUSCO,22,Femenino,10 semestre,Soltero,No,No,No,17.206,B,1
92,ADMINISTRACIÓN,CUSCO,23,Masculino,10 semestre,Soltero,No,Si,No,17.595,A,1
93,ADMINISTRACIÓN,CUSCO,23,Femenino,10 semestre,Soltero,Si,Si,No,12.273,C,0
94,ADMINISTRACIÓN,QUILLABAMBA,26,Masculino,4 semestre,Soltero,No,Si,Si,17.543,C,1
95,ADMINISTRACIÓN,CUSCO,23,Femenino,8 semestre,Soltero,No,Si,No,18.889,C,1
96,ADMINISTRACIÓN,QUILLABAMBA,24,Masculino,9 semestre,Soltero,No,Si,No,11.83,C,0
97,ADMINISTRACIÓN,PUERTO MALDONADO,19,Femenino,5 semestre,Soltero,No,Si,Si,11.505,C,0
98,ADMINISTRACIÓN,SICUANI,21,Femenino,6 semestre,Soltero,Si,Si,No,11.083,A,0
99,ADMINISTRACIÓN,CUSCO,23,Masculino,9 semestre,Soltero,No,No,No,18.624,B,1
100,ADMINISTRACIÓN,CUSCO,24,Femenino,9 semestre,Soltero,No,Si,No,15.771,B,0
101,ADMINISTRACIÓN,CUSCO,22,Femenino,7 semestre,Soltero,No,No,No,17.115,A,1
102,ADMINISTRACIÓN,CUSCO,21,Masculino,8 semestre,Soltero,No,Si,Si,18.199,A,1
103,ADMINISTRACIÓN,CUSCO,22,Femenino,10 semestre,Soltero,No,No,No,14.415,C,0
104,ADMINISTRACIÓN,CUSCO,21,Femenino,9 semestre,Soltero,No,Si,No,12.066,C,0
105,ADMINISTRACIÓN,SICUANI,21,Femenino,5 semestre,Soltero,No,Si,Si,18.496,C,1
106,ADMINISTRACIÓN,CUSCO,22,Femenino,9 semestre,Soltero,No,Si,No,11.905,A,0
107,ADMINISTRACIÓN,CUSCO,25,Masculino,9 semestre,Soltero,No,Si,No,14.997,A,0
108,ADMINISTRACIÓN,SICUANI,24,Femenino,5 semestre,Soltero,No,Si,Si,11.757,A,0
109,ADMINISTRACIÓN,SICUANI,45,Femenino,6 semestre,Soltero,Si,Si,Si,19.01,A,1
110,ADMINISTRACIÓN,SICUANI,21,Femenino,9 semestre,Soltero,No,Si,Si,14.349,A,0
111,ADMINISTRACIÓN,CUSCO,23,Masculino,8 semestre,Casado,Si,Si,Si,19.189,C,1
112,ADMINISTRACIÓN,CUSCO,22,Femenino,10 semestre,Soltero,No,Si,Si,17.026,B,1
113,ADMINISTRACIÓN,CUSCO,19,Femenino,2 semestre,Soltero,No,No,No,15.218,C,1
114,ADMINISTRACIÓN,SICUANI,20,Masculino,7 semestre,Soltero,No,Si,No,13.6,B,0
115,ADMINISTRACIÓN,CUSCO,33,Femenino,10 semestre,Soltero,No,Si,No,11.831,A,0
116,ADMINISTRACIÓN,CUSCO,30,Masculino,10 semestre,Soltero,No,Si,No,17.998,C,1
117,ADMINISTRACIÓN,PUERTO MALDONADO,26,Masculino,7 semestre,Conviviente,No,Si,No,17.855,A,1
118,ADMINISTRACIÓN,CUSCO,25,Femenino,7 semestre,Soltero,No,Si,No,11.235,A,0
119,ADMINISTRACIÓN,CUSCO,20,Femenino,3 semestre,Soltero,No,Si,No,16.204,B,1
120,ADMINISTRACIÓN,SICUANI,35,Femenino,6 semestre,Soltero,No,Si,No,19.247,B,1
121,ADMINISTRACIÓN,CUSCO,24,Masculino,9 semestre,Soltero,No,Si,No,17.663,C,1
122,ADMINISTRACIÓN,QUILLABAMBA,26,Masculino,8 semestre,Soltero,No,Si,Si,11.227,B,0
123,ADMINISTRACIÓN,SICUANI,23,Femenino,7 semestre,Soltero,No,No,No,12.492,C,0
124,ADMINISTRACIÓN,QUILLABAMBA,27,Masculino,10 semestre,Soltero,No,Si,Si,13.877,B,0
125,ADMINISTRACIÓN,SICUANI,28,Femenino,8 semestre,Soltero,No,Si,Si,11.318,C,0
126,ADMINISTRACIÓN,CUSCO,31,Masculino,10 semestre,Soltero,No,Si,No,14.289,C,0
127,ADMINISTRACIÓN,PUERTO MALDONADO,23,Masculino,8 semestre,Soltero,No,No,Si,12.998,A,0
128,ADMINISTRACIÓN,CUSCO,21,Femenino,9 semestre,Soltero,No,Si,No,16.509,A,1
129,ADMINISTRACIÓN,CUSCO,17,Masculino,1 semestre,Soltero,No,No,No,16.099,A,0
130,ADMINISTRACIÓN,SICUANI,21,Femenino,9 semestre,Soltero,No,Si,Si,14.891,B,0
131,ADMINISTRACIÓN,QUILLABAMBA,29,Femenino,10 semestre,Conviviente,Si,No,No,11.572,A,0
132,ADMINISTRACIÓN,QUILLABAMBA,22,Femenino,3 semestre,Soltero,No,Si,No,12.678,C,0
133,ADMINISTRACIÓN,SICUANI,22,Femenino,9 semestre,Soltero,No,Si,Si,11.642,A,0
134,ADMINISTRACIÓN,QUILLABAMBA,18,Femenino,2 semestre,Soltero,No,Si,No,12.851,C,0
135,ADMINISTRACIÓN,QUILLABAMBA,25,Femenino,8 semestre,Soltero,Si,Si,No,16.632,C,1
136,ADMINISTRACIÓN,SICUANI,24,Femenino,10 semestre,Soltero,No,Si,Si,18.968,B,1
137,ADMINISTRACIÓN,SICUANI,22,Femenino,7 semestre,Soltero,No,Si,Si,13.695,C,0
138,ADMINISTRACIÓN,CUSCO,24,Femenino,8 semestre,Soltero,No,Si,No,14.625,A,0
139,ADMINISTRACIÓN,SICUANI,24,Femenino,10 semestre,Soltero,No,Si,No,15.725,A,0
140,ADMINISTRACIÓN,CUSCO,20,Femenino,7 semestre,Soltero,No,No,Si,11.111,B,0
141,ADMINISTRACIÓN,CUSCO,18,Masculino,2 semestre,Soltero,No,No,No,12.181,B,0
142,ADMINISTRACIÓN,QUILLABAMBA,27,Masculino,10 semestre,Soltero,No,Si,Si,12.477,C,0
143,ADMINISTRACIÓN,CUSCO,21,Masculino,7 semestre,Soltero,No,Si,Si,12.785,C,0
144,ADMINISTRACIÓN,SICUANI,24,Masculino,7 semestre,Soltero,No,Si,Si,14.442,C,0
145,ADMINISTRACIÓN,SICUANI,25,Masculino,6 semestre,Soltero,No,Si,Si,11.654,C,0
146,ADMINISTRACIÓN,QUILLABAMBA,20,Femenino,10 semestre,Soltero,No,No,No,11.963,B,0
147,ADMINISTRACIÓN,CUSCO,24,Femenino,8 semestre,Soltero,No,Si,No,15.378,A,0
148,ADMINISTRACIÓN,CUSCO,20,Masculino,5 semestre,Soltero,No,Si,No,17.621,B,1
149,ADMINISTRACIÓN,CUSCO,42,Femenino,10 semestre,Soltero,Si,Si,No,16.721,A,1
150,ADMINISTRACIÓN,SICUANI,32,Femenino,10 semestre,Casado,Si,No,No,17.722,C,1
151,ADMINISTRACIÓN,CUSCO,29,Masculino,9 semestre,Soltero,Si,Si,No,16.513,C,1
152,ADMINISTRACIÓN,CUSCO,23,Femenino,10 semestre,Soltero,No,Si,No,12.158,B,0
153,ADMINISTRACIÓN,CUSCO,23,Masculino,10 semestre,Soltero,No,No,No,11.308,C,0
154,ADMINISTRACIÓN,SICUANI,27,Femenino,11 semestre,Soltero,No,Si,No,14.016,B,0
155,ADMINISTRACIÓN,CUSCO,24,Femenino,5 semestre,Soltero,No,Si,Si,13.634,C,0
156,ADMINISTRACIÓN,SICUANI,20,Masculino,3 semestre,Soltero,No,Si,No,14.484,B,0
157,ADMINISTRACIÓN,SICUANI,23,Femenino,10 semestre,Soltero,No,Si,No,12.947,B,0
158,ADMINISTRACIÓN,SICUANI,20,Femenino,3 semestre,Soltero,No,Si,Si,13.375,C,0
159,ADMINISTRACIÓN,QUILLABAMBA,22,Femenino,10 semestre,Soltero,No,Si,Si,15.335,A,1
160,ADMINISTRACIÓN,CUSCO,27,Masculino,9 semestre,Soltero,No,Si,Si,16.319,C,1
161,ADMINISTRACIÓN,SICUANI,26,Masculino,8 semestre,Soltero,Si,Si,Si,15.876,C,1
162,ADMINISTRACIÓN,SICUANI,22,Femenino,9 semestre,Soltero,No,Si,No,16.468,A,1
163,ADMINISTRACIÓN,CUSCO,22,Masculino,7 semestre,Soltero,No,Si,Si,12.836,A,0
164,ADMINISTRACIÓN,CUSCO,21,Femenino,10 semestre,Soltero,No,Si,No,11.992,C,0
165,ADMINISTRACIÓN,SICUANI,21,Masculino,5 semestre,Soltero,No,No,No,13.368,A,0
166,ADMINISTRACIÓN,CUSCO,25,Masculino,9 semestre,Soltero,No,Si,No,17.613,C,1
167,ADMINISTRACIÓN,CUSCO,24,Femenino,10 semestre,Soltero,Si,Si,Si,15.711,C,1
168,ADMINISTRACIÓN,QUILLABAMBA,17,Masculino,1 semestre,Soltero,No,Si,No,18.626,C,1
169,ADMINISTRACIÓN,CUSCO,27,Femenino,8 semestre,Soltero,No,Si,No,12.057,B,0
170,ADMINISTRACIÓN,CUSCO,26,Masculino,10 semestre,Soltero,No,Si,Si,12.72,A,0
171,ADMINISTRACIÓN,SICUANI,28,Masculino,10 semestre,Soltero,No,Si,Si,13.718,A,0
172,ADMINISTRACIÓN,SICUANI,20,Femenino,7 semestre,Soltero,No,Si,Si,11.401,C,0
173,ADMINISTRACIÓN,CUSCO,21,Femenino,10 semestre,Soltero,No,No,No,15.006,A,1
174,ADMINISTRACIÓN,CUSCO,26,Masculino,4 semestre,Soltero,No,Si,No,12.495,B,0
175,ADMINISTRACIÓN,CUSCO,17,Masculino,1 semestre,Soltero,No,No,No,13.249,B,0
176,ADMINISTRACIÓN,SICUANI,29,Masculino,9 semestre,Soltero,No,Si,Si,17.917,A,1
177,ADMINISTRACIÓN,QUILLABAMBA,18,Femenino,5 semestre,Soltero,No,No,No,19.17,A,1
178,ADMINISTRACIÓN,CUSCO,20,Femenino,6 semestre,Soltero,No,Si,Si,11.569,B,0
179,ADMINISTRACIÓN,CUSCO,18,Masculino,2 semestre,Soltero,No,No,No,13.986,C,0
180,ADMINISTRACIÓN,SICUANI,23,Masculino,10 semestre,Casado,Si,Si,No,13.951,A,0
181,ADMINISTRACIÓN,CUSCO,23,Femenino,9 semestre,Soltero,Si,Si,No,13.189,A,0
182,ADMINISTRACIÓN,PUERTO MALDONADO,20,Femenino,7 semestre,Soltero,No,No,No,18.343,B,1
183,ADMINISTRACIÓN,CUSCO,24,Femenino,9 semestre,Soltero,No,Si,Si,18.873,B,1
184,ADMINISTRACIÓN,CUSCO,25,Masculino,10 semestre,Soltero,No,Si,No,19.029,B,1
185,ADMINISTRACIÓN,CUSCO,22,Masculino,7 semestre,Soltero,No,No,No,13.861,C,0
186,ADMINISTRACIÓN,SICUANI,22,Femenino,9 semestre,Soltero,No,No,No,16.716,C,1
187,ADMINISTRACIÓN,QUILLABAMBA,24,Masculino,9 semestre,Soltero,No,Si,No,16.578,C,1
188,ADMINISTRACIÓN,CUSCO,20,Femenino,6 semestre,Soltero,No,No,Si,19.144,B,1
189,ADMINISTRACIÓN,QUILLABAMBA,21,Femenino,9 semestre,Soltero,No,No,No,14.388,B,0
190,ADMINISTRACIÓN,CUSCO,29,Femenino,2 semestre,Soltero,No,Si,Si,14.216,B,0
191,ADMINISTRACIÓN,SICUANI,27,Femenino,10 semestre,Soltero,No,Si,Si,18.228,B,1
192,ADMINISTRACIÓN,CUSCO,21,Masculino,9 semestre,Soltero,No,Si,No,14.488,A,0
193,ADMINISTRACIÓN,CUSCO,21,Femenino,7 semestre,Soltero,No,Si,No,12.26,C,0
194,ADMINISTRACIÓN,QUILLABAMBA,22,Masculino,9 semestre,Soltero,No,Si,No,15.445,B,1
195,ADMINISTRACIÓN,CUSCO,20,Femenino,6 semestre,Soltero,No,No,No,14.636,A,0
196,ADMINISTRACIÓN,CUSCO,21,Masculino,8 semestre,Soltero,No,Si,No,17.226,C,1
197,ADMINISTRACIÓN,CUSCO,20,Masculino,3 semestre,Soltero,No,No,No,12.095,C,0
198,ADMINISTRACIÓN,CUSCO,23,Masculino,10 semestre,Soltero,No,No,Si,18.476,A,1
199,ADMINISTRACIÓN,PUERTO MALDONADO,25,Femenino,10 semestre,Soltero,Si,No,Si,12.974,B,0
200,ADMINISTRACIÓN,CUSCO,24,Femenino,5 semestre,Soltero,No,Si,Si,18.134,B,1
201,ADMINISTRACIÓN,CUSCO,21,Femenino,8 semestre,Soltero,No,No,No,11.735,C,0
202,ADMINISTRACIÓN,PUERTO MALDONADO,24,Femenino,10 semestre,Soltero,No,Si,No,15.356,C,1
203,ADMINISTRACIÓN,QUILLABAMBA,26,Femenino,8 semestre,Soltero,No,Si,Si,18.197,C,1
204,ADMINISTRACIÓN,CUSCO,25,Femenino,8 semestre,Soltero,No,Si,Si,16.99,C,1
205,ADMINISTRACIÓN,CUSCO,22,Femenino,5 semestre,Soltero,No,Si,No,16.917,A,1
206,ADMINISTRACIÓN,CUSCO,22,Femenino,8 semestre,Soltero,No,Si,No,18.276,C,1
207,ADMINISTRACIÓN,CUSCO,23,Masculino,8 semestre,Soltero,No,Si,Si,18.698,B,1
208,ADMINISTRACIÓN,CUSCO,24,Masculino,10 semestre,Soltero,No,Si,No,16.578,B,1
209,ADMINISTRACIÓN,CUSCO,23,Masculino,3 semestre,Soltero,No,Si,Si,11.404,B,0
210,ADMINISTRACIÓN,CUSCO,21,Femenino,6 semestre,Soltero,No,No,Si,18.247,A,1
211,ADMINISTRACIÓN,CUSCO,20,Femenino,6 semestre,Soltero,No,Si,No,13.193,C,0
212,ADMINISTRACIÓN,CUSCO,20,Masculino,6 semestre,Soltero,No,Si,No,16.047,C,1
213,ADMINISTRACIÓN,QUILLABAMBA,20,Femenino,4 semestre,Soltero,No,No,No,14.574,C,0
214,ADMINISTRACIÓN,CUSCO,26,Masculino,10 semestre,Soltero,No,Si,Si,16.861,B,1
215,ADMINISTRACIÓN,QUILLABAMBA,23,Femenino,10 semestre,Soltero,No,No,No,13.615,B,0
216,ADMINISTRACIÓN,CUSCO,21,Femenino,10 semestre,Soltero,No,No,No,12.798,B,0
217,ADMINISTRACIÓN,SICUANI,29,Femenino,9 semestre,Soltero,Si,Si,No,19.423,C,1
218,ADMINISTRACIÓN,CUSCO,20,Femenino,8 semestre,Soltero,No,Si,No,14.301,B,0
219,ADMINISTRACIÓN,CUSCO,23,Masculino,9 semestre,Soltero,No,No,Si,17.924,C,1
220,ADMINISTRACIÓN,CUSCO,22,Femenino,7 semestre,Soltero,No,No,No,12.14,C,0
221,ADMINISTRACIÓN,QUILLABAMBA,18,Masculino,2 semestre,Soltero,No,Si,No,17.509,B,1
222,ADMINISTRACIÓN,CUSCO,21,Masculino,7 semestre,Soltero,No,No,Si,15.031,C,1
223,ADMINISTRACIÓN,PUERTO MALDONADO,19,Femenino,2 semestre,Soltero,Si,Si,Si,19.361,B,1
224,ADMINISTRACIÓN,SICUANI,21,Masculino,2 semestre,Soltero,No,Si,Si,12.78,B,0
225,ADMINISTRACIÓN,CUSCO,23,Masculino,10 semestre,Soltero,No,Si,Si,15.486,C,1
226,ADMINISTRACIÓN,CUSCO,21,Masculino,10 semestre,Soltero,No,Si,No,18.225,A,1
227,ADMINISTRACIÓN,CUSCO,21,Femenino,8 semestre,Soltero,No,Si,No,17.729,B,1
228,ADMINISTRACIÓN,PUERTO MALDONADO,24,Femenino,6 semestre,Soltero,Si,Si,Si,13.896,A,0
229,ADMINISTRACIÓN,CUSCO,24,Masculino,10 semestre,Soltero,No,Si,No,13.646,A,0
230,ADMINISTRACIÓN,SICUANI,25,Femenino,9 semestre,Soltero,No,Si,Si,12.698,A,0
231,ADMINISTRACIÓN,CUSCO,25,Masculino,8 semestre,Soltero,No,Si,No,12.666,C,0
232,ADMINISTRACIÓN,CUSCO,21,Masculino,7 semestre,Soltero,No,Si,Si,17.109,B,1
233,ADMINISTRACIÓN,CUSCO,33,Masculino,8 semestre,Soltero,No,Si,No,14.248,C,0
234,ADMINISTRACIÓN,PUERTO MALDONADO,22,Masculino,10 semestre,Soltero,No,Si,No,19.384,B,1
235,ADMINISTRACIÓN,PUERTO MALDONADO,21,Femenino,9 semestre,Soltero,No,Si,Si,18.766,A,1
236,ADMINISTRACIÓN,CUSCO,24,Masculino,10 semestre,Soltero,No,Si,Si,12.539,C,0
237,ADMINISTRACIÓN,CUSCO,28,Masculino,6 semestre,Soltero,No,Si,No,14.934,A,0
238,ADMINISTRACIÓN,QUILLABAMBA,19,Femenino,3 semestre,Soltero,No,No,No,18.041,B,1
239,ADMINISTRACIÓN,PUERTO MALDONADO,33,Masculino,7 semestre,Soltero,Si,Si,No,17.396,B,1
240,ADMINISTRACIÓN,PUERTO MALDONADO,30,Femenino,7 semestre,Soltero,Si,Si,No,12.581,C,0
241,ADMINISTRACIÓN,CUSCO,21,Masculino,1 semestre,Soltero,No,No,No,13.195,B,0
242,ADMINISTRACIÓN,QUILLABAMBA,17,Masculino,1 semestre,Soltero,No,Si,No,11.584,A,0
243,ADMINISTRACIÓN,CUSCO,21,Femenino,9 semestre,Soltero,No,Si,No,16.677,B,1
244,ADMINISTRACIÓN,QUILLABAMBA,20,Femenino,6 semestre,Soltero,No,Si,Si,19.291,B,1
245,ADMINISTRACIÓN,CUSCO,22,Femenino,7 semestre,Soltero,No,Si,No,15.954,A,0
246,ADMINISTRACIÓN,CUSCO,22,Masculino,2 semestre,Soltero,No,Si,No,13.159,C,0
247,ADMINISTRACIÓN,CUSCO,21,Masculino,8 semestre,Soltero,No,No,No,19.205,B,1
